Product,Total Sale,Date, Region
periwinkle morsel,627.5,2018-02-25,south
periwinkle morsel,647.5,2018-02-25,east
periwinkle morsel,716.25,2018-02-25,west
vermilion morsel,2949.09,2018-02-25,north
vermilion morsel,2699.59,2018-02-25,south
vermilion morsel,2679.63,2018-02-25,east
vermilion morsel,2924.1400000000003,2018-02-25,west
lapis morsel,1010.92,2018-02-25,north
lapis morsel,1094.5,2018-02-25,south
lapis morsel,1144.25,2018-02-25,east
lapis morsel,1078.58,2018-02-25,west
pink morsel,1686.0,2018-02-26,north
pink morsel,1533.0,2018-02-26,south
pink morsel,1524.0,2018-02-26,east
pink morsel,1530.0,2018-02-26,west
gold morsel,5124.87,2018-02-26,north
gold morsel,5864.13,2018-02-26,south
gold morsel,5844.150000000001,2018-02-26,east
gold morsel,5414.58,2018-02-26,west
magenta morsel,1277.5,2018-02-26,north
magenta morsel,1367.5,2018-02-26,south
magenta morsel,1367.5,2018-02-26,east
magenta morsel,1352.5,2018-02-26,west
chartreuse morsel,1707.0,2018-02-26,north
chartreuse morsel,1512.0,2018-02-26,south
chartreuse morsel,1758.0,2018-02-26,east
chartreuse morsel,1746.0,2018-02-26,west
periwinkle morsel,722.5,2018-02-26,north
periwinkle morsel,637.5,2018-02-26,south
periwinkle morsel,662.5,2018-02-26,east
periwinkle morsel,705.0,2018-02-26,west
vermilion morsel,2734.52,2018-02-26,north
vermilion morsel,2939.11,2018-02-26,south
vermilion morsel,2964.06,2018-02-26,east
vermilion morsel,2639.71,2018-02-26,west
lapis morsel,1060.67,2018-02-26,north
lapis morsel,1092.51,2018-02-26,south
lapis morsel,1186.04,2018-02-26,east
lapis morsel,1022.86,2018-02-26,west
pink morsel,1665.0,2018-02-27,north
pink morsel,1695.0,2018-02-27,south
pink morsel,1578.0,2018-02-27,east
pink morsel,1620.0,2018-02-27,west
gold morsel,5624.37,2018-02-27,north
gold morsel,5404.59,2018-02-27,south
gold morsel,5044.95,2018-02-27,east
gold morsel,5634.36,2018-02-27,west
magenta morsel,1290.0,2018-02-27,north
magenta morsel,1287.5,2018-02-27,south
magenta morsel,1480.0,2018-02-27,east
magenta morsel,1385.0,2018-02-27,west
chartreuse morsel,1548.0,2018-02-27,north
chartreuse morsel,1800.0,2018-02-27,south
chartreuse morsel,1602.0,2018-02-27,east
chartreuse morsel,1530.0,2018-02-27,west
periwinkle morsel,717.5,2018-02-27,north
periwinkle morsel,650.0,2018-02-27,south
periwinkle morsel,738.75,2018-02-27,east
periwinkle morsel,648.75,2018-02-27,west
vermilion morsel,2579.83,2018-02-27,north
vermilion morsel,2574.84,2018-02-27,south
vermilion morsel,2989.01,2018-02-27,east
vermilion morsel,2904.1800000000003,2018-02-27,west
lapis morsel,1068.6299999999999,2018-02-27,north
lapis morsel,1170.12,2018-02-27,south
lapis morsel,1190.02,2018-02-27,east
lapis morsel,1152.21,2018-02-27,west
pink morsel,1767.0,2018-02-28,north
pink morsel,1593.0,2018-02-28,south
pink morsel,1743.0,2018-02-28,east
pink morsel,1557.0,2018-02-28,west
gold morsel,5334.66,2018-02-28,north
gold morsel,5374.62,2018-02-28,south
gold morsel,5444.55,2018-02-28,east
gold morsel,5824.17,2018-02-28,west
magenta morsel,1407.5,2018-02-28,north
magenta morsel,1405.0,2018-02-28,south
magenta morsel,1320.0,2018-02-28,east
magenta morsel,1462.5,2018-02-28,west
chartreuse morsel,1746.0,2018-02-28,north
chartreuse morsel,1746.0,2018-02-28,south
chartreuse morsel,1590.0,2018-02-28,east
chartreuse morsel,1539.0,2018-02-28,west
periwinkle morsel,715.0,2018-02-28,north
periwinkle morsel,642.5,2018-02-28,south
periwinkle morsel,730.0,2018-02-28,east
periwinkle morsel,691.25,2018-02-28,west
vermilion morsel,2979.03,2018-02-28,north
vermilion morsel,2619.75,2018-02-28,south
vermilion morsel,2794.4,2018-02-28,east
vermilion morsel,2924.1400000000003,2018-02-28,west
lapis morsel,1020.87,2018-02-28,north
lapis morsel,1068.6299999999999,2018-02-28,south
lapis morsel,1026.84,2018-02-28,east
lapis morsel,1040.77,2018-02-28,west
pink morsel,1668.0,2018-03-01,north
pink morsel,1782.0,2018-03-01,south
pink morsel,1527.0,2018-03-01,east
pink morsel,1668.0,2018-03-01,west
gold morsel,5614.38,2018-03-01,north
gold morsel,5784.21,2018-03-01,south
gold morsel,5194.8,2018-03-01,east
